H,HP,セーブ,ボーク,三振,勝利,勝率,名前,四球,失点,安打,完封勝,完投,年度,所属球団,打者,投球回,敗北,暴投,本塁打,死球,無四球,登板,自責点,防御率
5,7,17,0,28,2,1.000,Ｒ．デラロサ,16,9,23,0,0,2020,読　売,132,31,0,1,3,3,0,35,9,2.56
0,0,0,0,59,8,.667,Ａ．サンチェス,34,35,74,0,0,2020,読　売,363,87,4,0,8,0,0,15,30,3.08
16,17,0,0,16,1,.333,大竹　寛,9,9,20,0,0,2020,読　売,100,24,2,0,3,1,0,29,7,2.59
0,0,0,0,131,14,.875,菅野　智之,25,33,97,3,3,2020,読　売,532,137,2,2,8,7,0,20,30,1.97
0,1,0,0,106,9,.600,戸郷　翔征,42,33,87,0,0,2020,読　売,446,107,6,1,12,6,0,19,33,2.76
0,0,0,0,69,6,.462,井納　翔一,26,41,98,0,1,2020,横浜DeNA,384,89,7,2,10,1,0,17,39,3.94
3,4,1,0,16,1,.333,野上　亮磨,6,10,19,0,0,2019,読　売,81,18,2,1,1,0,0,13,7,3.50
0,0,0,0,55,5,.714,今村　信貴,21,23,53,0,0,2020,読　売,260,62,2,0,8,2,0,12,22,3.16
2,2,1,0,58,5,.417,田口　麗斗,26,48,91,0,0,2020,読　売,379,89,7,2,10,5,0,26,46,4.63
13,16,0,0,40,3,.750,鍵谷　陽平,13,12,25,0,0,2020,読　売,148,37,1,0,2,1,0,46,12,2.89
4,4,0,0,43,2,.333,桜井　俊貴,21,37,68,0,0,2020,読　売,281,63,4,0,15,5,0,24,35,4.95
15,17,6,0,26,2,.667,中川　皓太,10,4,24,0,0,2020,読　売,139,36,1,0,1,1,0,37,4,1.00
0,0,0,1,45,4,.500,Ｃ．Ｃ．メルセデス,19,20,53,0,0,2020,読　売,243,58,4,0,5,2,0,11,20,3.10
0,0,0,0,49,4,.500,畠　世周,23,22,47,1,1,2020,読　売,265,65,4,1,5,4,0,12,21,2.88
2,2,0,0,23,1,.250,髙橋　優貴,12,12,22,0,0,2020,読　売,101,23,3,3,2,0,0,8,11,4.30
2,2,0,0,29,0,.000,Ｔ．ビエイラ,17,9,27,0,0,2020,読　売,118,24,1,1,3,2,0,27,9,3.28
8,8,0,0,21,0,.000,戸根　千明,17,7,17,0,0,2019,読　売,104,22,1,0,2,3,0,26,5,1.99
21,22,2,1,37,1,.500,高梨　雄平,13,10,17,0,0,2020,読　売,141,37,1,1,2,6,0,44,8,1.93
4,4,1,0,12,0,.000,高木　京介,2,5,11,0,0,2020,読　売,49,12,1,2,1,0,0,17,5,3.65
1,2,0,0,21,1,.500,田中　豊樹,18,19,32,0,0,2020,読　売,133,27,1,0,4,3,0,31,15,4.88
0,0,0,0,2,0,.000,横川　凱,1,1,4,0,0,2020,読　売,20,5,0,0,1,0,0,2,1,1.59
0,0,0,0,4,0,.000,古川　侑利,1,6,12,0,0,2020,読　売,26,4,0,1,1,0,0,5,6,11.57
9,12,0,0,30,3,1.000,大江　竜聖,22,15,21,0,0,2020,読　売,156,37,0,0,5,5,0,43,13,3.11
0,0,0,0,3,0,.000,沼田　翔平,4,5,6,0,0,2020,読　売,23,4,0,1,1,0,0,5,5,10.38
1,1,0,0,11,0,.000,堀岡　隼人,8,13,16,0,0,2020,読　売,62,12,0,0,2,0,0,12,11,7.82
0,0,0,0,0,0,.000,増田　大輝,1,0,0,0,0,2020,読　売,3,0,0,0,0,0,0,1,0,0.00
0,1,0,0,6,1,1.000,鍬原　拓也,5,5,6,0,0,2020,読　売,32,7,0,0,0,1,0,5,5,6.43
2,4,0,0,25,2,.667,谷岡　竜平,16,17,26,0,0,2018,読　売,117,25,1,4,1,0,0,25,16,5.76
0,0,0,0,11,0,.000,直江　大輔,3,4,10,0,0,2020,読　売,49,12,0,0,2,1,0,3,4,3.00
17,22,2,0,37,5,.714,岩崎　優,15,9,26,0,0,2020,阪　神,163,39,2,3,2,2,0,41,8,1.82
0,0,0,0,14,0,.000,チェン・ウェイン,4,7,22,0,1,2020,千葉ロッテ,102,26,3,2,4,0,0,4,7,2.42
0,0,0,1,115,11,.688,西　勇輝,28,44,116,2,4,2020,阪　神,582,147,5,1,15,4,2,21,37,2.26
8,13,0,0,63,7,.700,岩貞　祐太,23,32,67,0,0,2020,阪　神,298,71,3,3,7,0,0,38,26,3.30
9,11,0,0,27,2,.667,馬場　皐輔,16,12,28,0,0,2020,阪　神,136,30,1,4,1,1,0,32,7,2.08
7,7,0,0,85,1,.143,藤浪　晋太郎,40,47,71,0,0,2020,阪　神,341,76,6,4,5,2,0,24,34,4.01
0,0,0,0,11,0,.000,中田　賢一,5,9,18,0,0,2020,阪　神,53,10,2,0,0,0,0,3,9,7.59
0,0,0,0,15,1,.333,岩田　稔,15,16,26,0,0,2020,阪　神,107,22,2,0,1,2,0,5,16,6.35
5,5,0,0,6,0,.000,小野　泰己,13,3,11,0,0,2019,阪　神,58,11,1,0,0,1,0,14,3,2.31
0,0,0,0,75,5,.556,髙橋　遥人,17,25,67,0,1,2020,阪　神,306,76,4,1,4,1,1,12,21,2.49
0,0,0,0,15,0,.000,谷川　昌希,4,8,13,0,0,2020,阪　神,61,14,0,1,2,2,0,14,8,5.02
0,0,0,0,0,0,.000,浜地　真澄,0,0,1,0,0,2020,阪　神,4,1,0,0,0,0,0,1,0,0.00
0,0,0,0,2,0,.000,尾仲　祐哉,2,3,6,0,0,2020,阪　神,21,4,0,0,0,0,0,4,3,6.23
12,12,0,0,17,0,.000,Ｊ．エドワーズ,3,6,17,0,0,2020,阪　神,86,22,1,0,2,2,0,23,6,2.38
0,0,0,0,3,0,.000,守屋　功輝,4,5,6,0,0,2020,阪　神,23,4,0,0,1,2,0,3,5,11.25
0,0,0,0,64,11,.786,秋山　拓巳,12,45,97,0,2,2020,阪　神,435,112,3,2,17,0,1,18,36,2.89
0,0,0,0,11,0,.000,齋藤　友貴哉,5,6,9,0,0,2020,阪　神,35,7,0,3,1,0,0,5,6,7.71
11,13,0,0,39,2,.333,Ｊ．ガンケル,13,21,54,0,0,2020,阪　神,232,56,4,0,6,3,0,28,20,3.18
0,0,0,0,88,7,.438,青柳　晃洋,44,51,111,0,1,2020,阪　神,510,120,9,2,4,5,0,21,45,3.36
0,0,0,0,2,0,.000,加治屋　蓮,3,4,10,0,0,2020,福岡ソフトバンク,30,6,0,0,1,1,0,6,4,6.00
0,0,0,0,5,0,.000,小林　慶祐,2,0,3,0,0,2020,阪　神,14,3,0,0,0,0,0,2,0,0.00
0,0,0,0,18,0,.000,望月　惇志,8,11,18,0,0,2020,阪　神,81,19,0,3,2,0,0,16,11,5.21
2,2,0,0,8,0,.000,桑原　謙太朗,4,4,7,0,0,2020,阪　神,43,10,0,1,2,0,0,12,4,3.48
0,0,0,0,18,0,.000,小川　一平,13,15,28,0,0,2020,阪　神,101,21,0,5,1,0,0,21,11,4.71
8,11,25,0,50,3,.750,Ｒ．スアレス,19,15,36,0,0,2020,阪　神,208,52,1,2,2,0,0,51,13,2.24
1,2,0,0,15,1,.500,伊藤　和雄,20,7,8,0,0,2020,阪　神,74,15,1,1,0,0,0,15,6,3.52
0,0,0,0,0,0,.000,石井　将希,2,1,2,0,0,2020,阪　神,7,1,0,0,0,0,0,1,1,9.00
